Agendamento,Embarcação,Agência,Operador,Status embarcação,Navegação,Carga principal,Peso da carga movimentada (t),Qtd. de carga movimentada (un.),Qtd. de contêineres movimentados (un.),Berço,Horário chegada no porto,Horário fundeio,Horário desfundeio,Horário atracação,Horário desatracação,Horário início operação,Horário término da operação,Soma do tempo de operação paralisada
167133,IONIC SMYRNI,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,CARVÃO MINERAL,"40.543,70",-,0,402,23/10/2023 12:00,23/10/2023 12:00,30/10/2023 12:00,29/11/2023 10:35,06/12/2023 15:40,29/11/2023 16:30,06/12/2023 09:50,0
168530,ALIANÇA LEBLON,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"139.856,02",1941,1425,401,2/12/2023 15:57,2/12/2023 15:57,2/12/2023 16:30,2/12/2023 16:58,05/12/2023 04:17,2/12/2023 20:00,05/12/2023 04:00,0
168778,EUROSUN,WILHELMSEN PORT SERVICES BRASIL LTDA,NOVAD AGENCIA MARITIMA LTDA,Desatracado,LONGO CURSO,MANGANES,"10.141,87",-,0,402,13/11/2023 09:53,13/11/2023 09:53,7/12/2023 15:30,7/12/2023 16:58,11/12/2023 08:38,9/12/2023 01:20,11/12/2023 05:40,0
168828,CMA CGM SAINT LAURENT,CMA CGM DO BRASIL AGENCIA MARITIMA LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"5.113,85",3121,221,401,5/12/2023 00:00,5/12/2023 00:00,5/12/2023 03:00,5/12/2023 04:39,06/12/2023 01:10,5/12/2023 08:10,05/12/2023 23:40,0
168830,CMA CGM CAYENNE,CMA CGM DO BRASIL AGENCIA MARITIMA LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"6.859,71",549,435,401,18/12/2023 12:22,,,18/12/2023 12:22,19/12/2023 21:14,18/12/2023 15:30,19/12/2023 20:00,0
169064,ZEIN  I,GLOBAL AGENCIA MARITIMA LTDA EPP,BELEM TRADING & OPERACOES PORTUARIAS LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"2.523,00",-,0,202,25/12/2023 16:00,25/12/2023 16:00,25/12/2023 17:00,28/12/2023 10:15,30/12/2023 12:32,28/12/2023 19:05,30/12/2023 11:30,0
169074,BROAD YUAN,LBH BRASIL AGENCIAMENTO MARITIMO LTDA. (PVC),COMPORTCE OPERADOR PORTUARIO CESARI LTDA,Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"19.274,92",-,0,301,20/11/2023 13:30,20/11/2023 13:30,28/11/2023 20:20,28/11/2023 21:15,05/12/2023 00:25,29/11/2023 01:32,04/12/2023 15:40,7:00
169084,KANAAN,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.806,57",-,79,401,2/12/2023 02:00,,,2/12/2023 02:00,03/12/2023 15:15,2/12/2023 03:00,02/12/2023 15:00,0
169291,GLYFADA,ORION RODOS MARITIMA E PORTUARIA (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"33.258,70",-,0,101,28/11/2023 08:00,28/11/2023 08:00,29/11/2023 21:00,29/11/2023 22:43,02/12/2023 12:20,30/11/2023 01:30,02/12/2023 10:20,0
169304,ADRIATIC WAVE,ISS MARINE SERVICES LTDA.      FILIAL BELEM,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,SODA CÁUSTICA,"42.022,53",-,0,501,29/11/2023 01:42,29/11/2023 01:42,7/12/2023 16:00,7/12/2023 17:00,10/12/2023 18:24,7/12/2023 22:06,10/12/2023 08:54,0
169337,JOURI,GLOBAL AGENCIA MARITIMA LTDA EPP,R L DE ASSUNCAO OPERADOR PORTUARIO LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"1.725,16",-,0,202,21/11/2023 21:15,21/11/2023 21:15,7/12/2023 15:30,7/12/2023 17:20,10/12/2023 06:43,8/12/2023 01:20,09/12/2023 17:10,0
169347,SAGA FUJI,ORION RODOS MARITIMA E PORTUARIA (PVC),ALBRAS ALUMINIO BRASILEIRO SA,Desatracado,LONGO CURSO,ALUMÍNIO E SUAS OBRAS,"17.943,96",-,0,201,1/12/2023 11:41,1/12/2023 11:41,1/12/2023 21:53,1/12/2023 23:00,04/12/2023 21:25,2/12/2023 02:45,04/12/2023 14:28,0
169350,BERNIS,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"33.453,76",-,0,102,1/12/2023 12:15,,,1/12/2023 12:15,03/12/2023 14:55,1/12/2023 14:27,03/12/2023 13:26,19:40
169353,MV DEVBULK SADIYE,UNIMAR AGENCIAMENTOS MARÍTIMOS LTDA (PVC),COMPORTCE OPERADOR PORTUARIO CESARI LTDA,Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"13.084,16",-,0,301,26/11/2023 18:50,26/11/2023 18:50,5/12/2023 00:36,5/12/2023 01:10,08/12/2023 20:00,5/12/2023 08:25,08/12/2023 15:25,0
169372,IC PHOENIX,ALPHAMAR AGENCIA MARITIMA LTDA EPP (PVC),MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,LONGO CURSO,MILHO,"59.512,13",-,0,FUNDEIO1,26/11/2023 11:54,26/11/2023 11:54,8/12/2023 02:48,8/12/2023 08:30,25/12/2023 08:20,9/12/2023 12:55,24/12/2023 09:20,0
169434,FLORETGRACHT,ORION RODOS MARITIMA E PORTUARIA (PVC),ALBRAS ALUMINIO BRASILEIRO SA,Desatracado,LONGO CURSO,ALUMÍNIO E SUAS OBRAS,"9.165,76",-,0,202,12/12/2023 00:00,12/12/2023 00:00,12/12/2023 06:00,12/12/2023 08:40,15/12/2023 11:40,12/12/2023 13:45,15/12/2023 03:05,0
169436,LOG-IN POLARIS,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"8.074,87",-,428,401,30/11/2023 21:58,,,30/11/2023 21:58,02/12/2023 01:08,30/11/2023 21:58,01/12/2023 23:48,0
169439,ALIANÇA LEBLON,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"4.231,22",212,260,401,16/12/2023 01:00,,,16/12/2023 01:00,18/12/2023 10:22,16/12/2023 02:30,18/12/2023 09:00,0
169460,IOANNIS ZAFIRAKIS,PETROLEO BRASILEIRO,PETROLEO BRASILEIRO,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"3.293,85",-,0,501,2/12/2023 14:55,,,2/12/2023 14:55,03/12/2023 12:10,2/12/2023 18:36,03/12/2023 00:12,0
169462,CLEAROCEAN MELODY,PETROLEO BRASILEIRO,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"5,00",-,0,501,5/12/2023 15:05,,,5/12/2023 15:05,07/12/2023 04:19,5/12/2023 20:00,07/12/2023 01:00,0
169464,HB TUCUNARÉ,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"53.107,71",-,0,101,2/12/2023 18:13,,,2/12/2023 18:13,05/12/2023 19:25,2/12/2023 20:04,05/12/2023 17:20,13:52
169465,HB TAMBAQUI,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"53.900,07",-,0,101,6/12/2023 20:15,6/12/2023 20:15,6/12/2023 20:45,6/12/2023 21:18,09/12/2023 15:44,7/12/2023 01:22,09/12/2023 09:37,0
169485,RAINHA DO JURUA,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"0,00",-,3,401,6/12/2023 04:00,,,6/12/2023 04:00,07/12/2023 01:28,6/12/2023 13:45,07/12/2023 01:20,0
169486,MAJONAV IV,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"10,00",-,1,401,6/12/2023 01:40,,,6/12/2023 01:40,06/12/2023 13:20,6/12/2023 01:50,06/12/2023 13:00,0
